 _____________________________________ 
< HOLA, ESTO ESTA EN DESARROLLO AUN!! >
 ------------------------------------- 
        \   ^__^
         \  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||
Conecting to SQL database...
 Database: BetaGema     (IP 192.168.1.19:3306)

[99] 2019-02-22 15:23:21  -37.7813 -70.9728  20.4   M 1.9    8 ph  GAP 342  RMS 0.2 s  ERR 12.1 km xyz( 10.8 km, 13.0 km, 12.3 km) [MANUAL]
[100] 2019-02-22 15:23:23  -37.7454 -71.1688  11.8   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
[101] 2019-02-22 19:58:51  -37.7730 -71.0216  20.4   M 1.9    8 ph  GAP 337  RMS 0.1 s  ERR  8.1 km xyz(  7.3 km,  8.5 km,  8.5 km) [MANUAL]
[102] 2019-02-22 19:58:52  -37.7741 -71.1020  20.6   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
[103] 2019-02-22 20:25:35  -37.7836 -70.9827  11.8   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
[104] 2019-02-22 20:25:35  -37.7601 -71.0325  22.7   M 3.1   12 ph  GAP 338  RMS 0.1 s  ERR  6.1 km xyz(  7.2 km,  5.9 km,  4.9 km) [MANUAL]
[105] 2019-02-22 20:28:37  -37.7860 -70.9513   9.5   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
[106] 2019-02-22 20:28:37  -37.7548 -71.0393  19.4   M 3.8   12 ph  GAP 339  RMS 0.2 s  ERR  7.7 km xyz(  9.1 km,  7.3 km,  6.6 km) [MANUAL]
[107] 2019-02-22 21:14:44  -37.7550 -71.0495  15.2   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
[108] 2019-02-22 21:14:44  -37.7734 -71.0973   1.0   M 1.6    6 ph  GAP 340  RMS 0.0 s  ERR 22.2 km xyz( 26.2 km, 19.8 km, 20.0 km) [MANUAL]
[109] 2019-02-22 21:18:58  -37.7632 -71.0679  18.2   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
[110] 2019-02-22 21:18:58  -37.8286 -71.0049  11.1   M 2.4   10 ph  GAP 333  RMS 0.3 s  ERR 10.4 km xyz(  7.4 km, 10.4 km, 12.8 km) [MANUAL]
[111] 2019-02-22 21:27:37  -37.7900 -70.9944  17.3   M 1.7    7 ph  GAP 342  RMS 0.2 s  ERR 13.7 km xyz( 15.8 km, 13.1 km, 11.8 km) [MANUAL]
[112] 2019-02-22 21:27:38  -37.7738 -71.0902  20.1   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
[113] 2019-02-22 21:46:51  -37.7687 -71.0216  21.1   M 1.8    7 ph  GAP 343  RMS 0.1 s  ERR 13.8 km xyz( 16.6 km, 12.7 km, 11.5 km) [MANUAL]
[114] 2019-02-22 21:46:52  -37.7839 -71.0629  23.7   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
[115] 2019-02-22 21:54:24  -37.7474 -71.0542  21.1   M 3.2   12 ph  GAP 340  RMS 0.2 s  ERR  8.5 km xyz(  9.2 km,  7.9 km,  8.2 km) [MANUAL]
[116] 2019-02-22 21:54:25  -37.7692 -71.0473  18.5   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
[117] 2019-02-23 00:25:35  -37.7615 -71.1205  15.2   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
[118] 2019-02-23 00:25:35  -37.7614 -71.2919   1.0   M 1.5    6 ph  GAP 322  RMS 0.2 s  ERR 16.2 km xyz( 19.3 km, 15.8 km, 12.6 km) [MANUAL]
[119] 2019-02-23 02:39:47  -37.7500 -71.1002  15.0   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
[120] 2019-02-23 02:39:47  -37.7272 -71.3246   1.0   M 1.7    8 ph  GAP 321  RMS 0.2 s  ERR 17.3 km xyz( 23.5 km, 12.7 km, 13.7 km) [MANUAL]
[121] 2019-02-23 03:15:38  -37.7344 -71.0327  20.4   M 1.7    8 ph  GAP 343  RMS 0.2 s  ERR 11.5 km xyz( 11.0 km, 11.4 km, 12.2 km) [MANUAL]
[122] 2019-02-23 03:15:39  -37.7671 -71.0875  19.8   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
[123] 2019-02-23 03:29:14  -37.8057 -70.9875  21.0   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
[124] 2019-02-23 03:29:14  -37.7814 -71.0053  21.1   M 1.9    8 ph  GAP 342  RMS 0.1 s  ERR  9.6 km xyz(  9.1 km, 10.4 km,  9.3 km) [MANUAL]
[125] 2019-02-23 03:55:24  -37.8266 -71.2482  11.8   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
[126] 2019-02-23 03:55:24  -37.9141 -71.1597  12.0   M 2.3   11 ph  GAP 322  RMS 0.2 s  ERR  5.9 km xyz(  5.5 km,  6.7 km,  5.4 km) [MANUAL]
[127] 2019-02-23 06:23:19  -37.7774 -71.0291  20.0   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
[128] 2019-02-23 06:23:19  -37.7602 -71.0379  21.1   M 2.1    9 ph  GAP 338  RMS 0.2 s  ERR 10.4 km xyz(  8.2 km, 10.9 km, 11.8 km) [MANUAL]
[129] 2019-02-23 09:16:20  -37.7558 -71.0271  21.9   M 3.4   12 ph  GAP 338  RMS 0.2 s  ERR  8.9 km xyz( 10.0 km,  8.8 km,  7.8 km) [MANUAL]
[130] 2019-02-23 09:16:23  -37.8495 -71.1341  12.3   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
[131] 2019-02-23 10:23:14  -37.7794 -70.9888  18.6   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
[132] 2019-02-23 10:23:14  -37.7621 -70.9919  18.4   M 2.0    8 ph  GAP 343  RMS 0.2 s  ERR 13.5 km xyz( 12.1 km, 14.0 km, 14.4 km) [MANUAL]
